timestamp;hora_dia;dia_semana;reqs;trafego_MBps;usuarios_ativos;temp_ambiente_C;uso_cpu_%;uso_ram_%;demanda_energia_kW;pressao_resfriamento_bar;consumo_agua_m3
27/04/2025 00:00;0;60;694490;290;1177230;19672731626411600;4997489859585670;4559966713290260;5300796472249320;17449654673754600;660898757399281
27/04/2025 01:00;10;60;470880;100;1142170;2402835393254780;5029807541178660;4953191118029690;5202026471223020;18119156860471500;5987422739105590
27/04/2025 02:00;20;60;535370;260;1291560;25782895234630500;5161684235456790;451117779195156;536064628473584;1844827640292300;6563108165087770
27/04/2025 03:00;30;60;792600;250;1475270;27602470336825800;4827143721127680;3528816817063460;5155570073560460;18553942411087700;6816759922206670
27/04/2025 04:00;40;60;322430;100;1357220;2672875961362260;4921413869018960;4455513185897340;5325253416237760;18470020876552900;6027148082061270
27/04/2025 05:00;50;60;611400;240;1372380;27607961171458800;5233700437676570;4327145298707050;5223939237621920;18758044394557100;6337383218379130
27/04/2025 06:00;60;60;717780;370;1478680;2512997550101950;5595249871856080;41987774115167600;5505189808178960;1856712126108100;6521823955131120
27/04/2025 07:00;70;60;712120;420;1440940;2412907958004050;41082530189520900;44091470655204400;4828059185083550;17673488446482100;56359038371708200
27/04/2025 08:00;80;60;567470;250;1212400;26739220613764100;4865814850641180;4467260026197290;520572827867415;18443790517385200;6408977657107820
27/04/2025 09:00;90;60;588280;210;1377560;25454948253105300;5150822958970240;3373133369552390;5471584112624790;18393653717450900;65349164340494500
27/04/2025 10:00;100;60;635900;270;1310740;2416116656151130;4595581344300800;5209466077629610;5055639887921510;179219656563771;6388297899132040
27/04/2025 11:00;110;60;527000;250;1111070;2361633340135960;59156719743717900;41770150969072400;5736365606453130;18500285997389800;730277056399909
27/04/2025 12:00;120;60;691510;250;1148120;22484778223687300;4732305263484800;47398018256885000;5114755742060580;17738869365295500;5669955735796730
27/04/2025 13:00;130;60;667365;250;985780;2289044910937030;5029512681867050;45029388145687400;5370372001177630;1794832370733910;6474283849210170
27/04/2025 14:00;140;60;643220;260;994860;21942478377225400;53300656705246800;5042088589121400;5473814384856130;17956404591846200;65299482048651200
27/04/2025 15:00;150;60;656460;270;938780;1998790340376430;4760043749708650;4704187057053430;51086881879180900;17378207385419000;6232746500399060
27/04/2025 16:00;160;60;614090;270;864170;1980460269370660;4131012149302460;4446754296295110;48184253611057700;17036196478707200;5834408811921390
27/04/2025 17:00;170;60;751640;300;855710;1890739052348090;4847340104058510;4188844488629870;5229999110769300;17259778630551400;5873320663710360
27/04/2025 18:00;180;60;745410;320;880860;1730824540194810;5580126559669670;4868194991832470;5445516347890890;17386300090127000;707059416744675
27/04/2025 19:00;190;60;659270;220;955960;1927114370721340;4876290747947620;3784177211923300;5213394096139550;17328816930055800;700542757042396
27/04/2025 20:00;200;60;514200;170;1060190;16444155781573400;4611452803006030;4784358633412000;5039574103559730;1677234976873900;6264670971064740
27/04/2025 21:00;210;60;508400;140;980880;20752410203697600;5491652585552490;4081994459978900;5508053928314300;1785868782333090;68188159096186200
27/04/2025 22:00;220;60;582950;240;1064470;18208215590350900;4884366258196110;5038228744438380;5181863058622010;171734154676507;6676265144571970
27/04/2025 23:00;230;60;573840;260;1002120;2139342874978200;4797396562093200;46038775437538100;5089570335202900;17607712593513900;6533714379525330
28/04/2025 00:00;0;0;502570;210;799950;2073226906236080;5118203098696210;47902557975384600;5413722085153660;1766894190870220;5496600477583500
28/04/2025 01:00;10;0;431300;250;962490;23865359655021700;5436098926315400;4307932451876310;547020014056627;1829785341141100;6566526433734180
28/04/2025 02:00;20;0;450850;170;899910;23949112161108100;6226270024893680;3825609106214160;5796462973670270;1870550183661310;6689742282788850
28/04/2025 03:00;30;0;437600;200;1017070;22436293187501200;5454765313725560;41865687795645;5496643265698580;1809282663498800;6640540103006370
28/04/2025 04:00;40;0;416330;100;933860;237165576637042;5601836484331230;4785393110897340;5353707684659390;18715190901415400;6913670164813560
28/04/2025 05:00;50;0;185210;50;1084450;2499682213990720;4757920493525580;4574840021708570;535008270456312;18128483567748900;6445405389114480
28/04/2025 06:00;60;0;394860;190;1038240;2732172008122000;4525205995264190;5001000998308970;50388114742574500;18360861009815100;5996266199378090
28/04/2025 07:00;70;0;435840;210;1129770;25865691838257900;507398224498432;4693422252845940;5086974719254810;1841684489823080;5630677001252480
28/04/2025 08:00;80;0;1364400;450;1072060;2605723309321980;5145516930537130;4182268223399440;5435192071367610;18481343429251500;6500362072235340
